SimTime,SPAD_tester.Anode,SPAD_tester.OUT,SPAD_tester.OUT_$flow,SPAD_tester.VOP,SPAD_tester.VPHOTON,SPAD_tester.net018
1.33971E-07,0.005780208,1.199998062,0,31.2,0,0
1.37971E-07,0.001635898,1.199998958,0,31.2,0,0
1.41971E-07,0.000463015,1.199998979,0,31.2,0,0
1.4447E-07,0.000223412,1.199999199,0,31.2,0,0
1.4697E-07,0.000107828,1.199999038,0,31.2,0,0
1.4707E-07,0.0001049,1.199999127,0,31.2,0,0
1.4727E-07,9.94E-05,1.19999913,0,31.2,0,0
1.4737E-07,9.67E-05,1.19999913,0,31.2,0,0
1.4757E-07,9.15E-05,1.199999131,0,31.2,0,0
1.47832E-07,8.51E-05,1.199999132,0,31.2,0,0
1.48356E-07,7.35E-05,1.199999134,0,31.2,0,0
1.49404E-07,5.47E-05,1.199999137,0,31.2,0,0
1.515E-07,3.00E-05,1.199999141,0,31.2,0,0
0.000000153,1.96E-05,1.199999143,0,31.2,3.18E-13,3.18E-13
1.53002E-07,1.96E-05,1.199999143,0,31.2,0.01875,0.01875
1.53005E-07,1.96E-05,1.199999143,0,31.2,0.05625,0.05625
1.53011E-07,1.96E-05,1.199999143,0,31.2,0.13125,0.13125
1.53023E-07,1.95E-05,1.199999143,0,31.2,0.28125,0.28125
1.53048E-07,1.94E-05,1.199999143,0,31.2,0.58125,0.58125
1.53074E-07,1.92E-05,1.199999143,0,31.2,0.890625,0.890625
1.53076E-07,0.051393201,1.210301777,0,31.2,0.909960938,0.909960938
1.53079E-07,0.240718152,1.233959748,0,31.2,0.948632813,0.948632813
1.5308E-07,0.28010021,1.235227844,0,31.2,0.957722421,0.957722421
1.53081E-07,0.354317173,1.23629236,0,31.2,0.975901638,0.975901638
1.53084E-07,0.485104739,1.220417686,0,31.2,1.012260073,1.012260073
1.5309E-07,0.665368994,1.002543234,0,31.2,1.07525783,1.07525783
1.53094E-07,0.776143484,0.5932781,0,31.2,1.126209451,1.126209451
1.53097E-07,0.841117692,0.249830906,0,31.2,1.163104725,1.163104725
1.531E-07,0.895991461,0.047256724,0,31.2,1.2,1.2
1.53102E-07,0.924721684,0.021051265,0,31.2,1.2,1.2
1.53106E-07,0.976684476,0.000494746,0,31.2,1.2,1.2
1.53109E-07,1.008622293,0.003475747,0,31.2,1.2,1.2
1.53114E-07,1.059337707,0.001772241,0,31.2,1.2,1.2
1.53121E-07,1.100213023,0.001428291,0,31.2,1.2,1.2
1.53134E-07,1.149003429,0.000507283,0,31.2,1.2,1.2
1.53153E-07,1.181178531,0.000248203,0,31.2,1.2,1.2
1.53178E-07,1.1940429,-3.17E-06,0,31.2,1.2,1.2
1.532E-07,1.197772263,7.19E-05,0,31.2,1.2,1.2
1.53211E-07,1.198723562,2.26E-05,0,31.2,1.068706233,1.068706233
1.53233E-07,1.196093359,-6.82E-05,0,31.2,0.8061187,0.8061187
1.53266E-07,1.18512893,-7.33E-05,0,31.2,0.40305935,0.40305935
1.533E-07,1.174263523,-7.04E-05,0,31.2,0,0
1.53367E-07,1.153017526,-7.12E-05,0,31.2,0,0
